AREIAS;-44.8167005042;-22.8343876734;-44.6416233548;-22.521162713
AREIÓPOLIS;-48.691791959;-22.6985893951;-48.6079341064;-22.5326270283
ARIRANHA;-48.8586954077;-21.2470857647;-48.6945191007;-21.1080419673
ARTUR NOGUEIRA;-47.2365738055;-22.6390999939;-47.0423693379;-22.4730326024
ARUJÁ;-46.377608;-23.437278;-46.247678;-23.321446
ASPÁSIA;-50.7823734371;-20.2384861591;-50.6809208988;-20.129546711
ASSIS;-50.5732570134;-22.7118005853;-50.3012605689;-22.4448153097
ATIBAIA;-46.7164522598;-23.2616018104;-46.4309149133;-22.9974723149
AURIFLAMA;-50.6853229737;-20.7728938218;-50.4765075422;-20.5070676922
AVAÍ;-49.4589811093;-22.3472630813;-49.1607698155;-22.0414597167
AVANHANDAVA;-50.0608534363;-21.6099282627;-49.8432007115;-21.3255889441
AVARÉ;-49.0805793859;-23.3024208083;-48.7339075681;-22.8248472045
BADY BASSITT;-49.5102333093;-20.9852367091;-49.346019;-20.8789
BALBINOS;-49.3889506454;-21.9530510355;-49.266478689;-21.8377657487
BÁLSAMO;-49.626865119;-20.7892018692;-49.4838776317;-20.6175489198
BANANAL;-44.5084936088;-22.8853712688;-44.1613651644;-22.5878487415
BARÃO DE ANTONINA;-49.6295248849;-23.6789844409;-49.490086195;-23.4582325434
BARBOSA;-50.0287872221;-21.3553866367;-49.8165256914;-21.2256879394
BARIRI;-48.8672131114;-22.1928221724;-48.6027293128;-21.9285304821
BARRA BONITA;-48.6407011075;-22.5468111387;-48.4479996404;-22.4117085862
BARRA DO CHAPÉU;-49.2539602238;-24.5542396998;-48.9417104712;-24.330071143
BARRA DO TURVO;-48.6008313333;-25.1008198482;-48.2086359293;-24.6516333368
BARRETOS;-48.8944412993;-20.7428714486;-48.344597604;-20.2937993327
BARRINHA;-48.1783124474;-21.3068118446;-47.9916532437;-21.1595026076
BARUERI;-46.965401;-23.553318;-46.798735;-23.470356
BASTOS;-50.8643039021;-22.0152473224;-50.6640768333;-21.8772988908
BATATAIS;-47.786923583;-21.0384301013;-47.4064887433;-20.6929272831
BAURU;-49.2908609299;-22.4171851987;-48.9341589898;-22.0607285818
BEBEDOURO;-48.6844673521;-21.0916561563;-48.367219443;-20.7860156806
BENTO DE ABREU;-50.9865135951;-21.4478680221;-50.7359521929;-21.1831149151
BERNARDINO DE CAMPOS;-49.5624759585;-23.1501066495;-49.4121154753;-22.9009349769
BERTIOGA;-46.242677;-23.888888;-45.794008;-23.643529
BILAC;-50.5535295233;-21.5235278254;-50.418068182;-21.3077256743
BIRIGUI;-50.4665508215;-21.4681124478;-50.2391715232;-21.0602736777
BIRITIBA-MIRIM;-46.112126;-23.73633;-45.915956;-23.506886
BOA ESPERANÇA DO SUL;-48.6801288382;-22.0631539619;-48.2533488186;-21.8351468398
BOCAINA;-48.6468937731;-22.19858736;-48.3945656665;-21.9870305784
BOFETE;-48.4922919663;-23.3030052548;-48.1231196315;-22.9582491303
BOITUVA;-47.7800785289;-23.3791388407;-47.5734540778;-23.1908439979
BOM JESUS DOS PERDÕES;-46.543317;-23.237252;-46.411339;-23.110666
BOM SUCESSO DE ITARARÉ;-49.2542356561;-24.4050386326;-49.0748924933;-24.2453021943
BORÁ;-50.5609528076;-22.3190788908;-50.4507458601;-22.1526780717
BORACÉIA;-48.8563586477;-22.2326660284;-48.7144802186;-22.1031783856
BORBOREMA;-49.2412169957;-21.755594838;-48.9115247437;-21.4560453691
BOREBI;-49.0968065285;-22.8406454177;-48.8882171028;-22.5295040168
BOTUCATU;-48.8522130516;-23.0818816386;-48.239638684;-22.5953158677
BRAGANÇA PAULISTA;-46.7208785348;-23.0517294115;-46.4048849068;-22.8215404845
BRAÚNA;-50.4248549109;-21.6375074474;-50.2579493966;-21.4570412031
BREJO ALEGRE;-50.2590447315;-21.2584144505;-50.1550082952;-21.1104859329
BRODOWSKI;-47.726035;-21.151088;-47.517945;-20.9364068256
BROTAS;-48.3299783653;-22.5069258134;-47.8794698435;-22.0732245891
BURI;-48.7809568842;-23.9413138258;-48.3487325707;-23.538882688
BURITAMA;-50.3581897632;-21.1398860741;-50.0546953303;-20.9777161303
BURITIZAL;-47.8373946265;-20.2882644164;-47.5923066489;-20.1213685837
CABRÁLIA PAULISTA;-49.503078409;-22.5764498124;-49.2667379315;-22.3885396194
CABREÚVA;-47.1913558845;-23.4045823978;-46.9587812647;-23.2225007945
CAÇAPAVA;-45.841785;-23.2379490075;-45.5929143218;-22.9694457828
CACHOEIRA PAULISTA;-45.1253912141;-22.8571791796;-44.8930337312;-22.5626989391
CACONDE;-46.7628157043;-21.6850599488;-46.50004872;-21.4269571839
CAFELÂNDIA;-49.8088954823;-21.9399297363;-49.3088808321;-21.5240685001
CAIABU;-51.2910696272;-22.0716905069;-51.1515643368;-21.8232730101
CAIEIRAS;-46.8236739909;-23.426962;-46.6549396861;-23.3267228632
CAIUÁ;-52.143937;-22.048043;-51.8440564307;-21.5422026771
CAJAMAR;-46.94089849;-23.4302919409;-46.819653;-23.2781731699
CAJATI;-48.3193902678;-24.9121258694;-48.0469696278;-24.6406848199
CAJOBI;-48.9490862462;-20.9376968915;-48.7441100866;-20.8128410363
CAJURU;-47.478876374;-21.4625974087;-47.1813626723;-21.1007851
CAMPINA DO MONTE ALEGRE;-48.5392882466;-23.7156961234;-48.3640154437;-23.5093270785
CAMPINAS;-47.246767;-23.061219;-46.815302;-22.729225
CAMPO LIMPO PAULISTA;-46.810238;-23.2672505114;-46.7025588858;-23.1532344359
CAMPOS DO JORDÃO;-45.6763136153;-22.7971683745;-45.3999185044;-22.5888942277
CAMPOS NOVOS PAULISTA;-50.138773824;-22.7843042981;-49.886219277;-22.4904514829
CANANÉIA;-48.2396928397;-25.3123209493;-47.7343624022;-24.7563453886
CANAS;-45.0752429694;-22.8101197829;-44.9746537685;-22.6757870752
CÂNDIDO MOTA;-50.5787183474;-22.9464074024;-50.2619767599;-22.6729897773
CÂNDIDO RODRIGUES;-48.6841510055;-21.3942957208;-48.5756206979;-21.2869330969
CANITAR;-49.8368990069;-23.0769538092;-49.7423439099;-22.9677794037
CAPÃO BONITO;-48.5866936819;-24.2819126873;-47.9529448207;-23.8251267805
CAPELA DO ALTO;-47.8072143318;-23.561875143;-47.6506627696;-23.3849591685
CAPIVARI;-47.6233063561;-23.1280615142;-47.3821904439;-22.8453858285
CARAGUATATUBA;-45.7196583481;-23.7600041491;-45.2592508413;-23.4831175234
CARAPICUÍBA;-46.876765;-23.5843107429;-46.8143895962;-23.510625
CARDOSO;-50.1116963017;-20.2184050907;-49.8024474553;-19.9164224973
CASA BRANCA;-47.2413592787;-22.0106718538;-46.9541783162;-21.567877844
CÁSSIA DOS COQUEIROS;-47.2344854692;-21.3486568651;-47.0442243043;-21.185613067
CASTILHO;-51.7724764338;-21.1698638302;-51.4193643265;-20.6234187202
CATANDUVA;-49.0913314559;-21.2545676854;-48.8167685927;-21.0060775931
CATIGUÁ;-49.1334856022;-21.1357619761;-48.9637347704;-21.002307328
CEDRAL;-49.374709;-21.0192272731;-49.1418226248;-20.8142654183
CERQUEIRA CÉSAR;-49.2487121394;-23.2600661261;-48.9813228579;-22.8830730911
CERQUILHO;-47.8277334447;-23.2531428676;-47.6841018016;-23.1217496194
