PALESTINA,-49.6918283363,-20.5051200224
PALMARES PAULISTA,-48.8827761932,-21.1564148552
PALMEIRA D'OESTE,-50.8543756288,-20.5536057705
PALMITAL,-50.3596374567,-22.9541466788
PANORAMA,-51.9658838094,-21.5850896864
PARAGUAÇU PAULISTA,-50.8579449118,-22.6472017726
PARAIBUNA,-45.7911483331,-23.6572424378
PARAÍSO,-48.844293464,-21.1003339806
PARANAPANEMA,-49.0017183576,-23.6428024363
PARANAPUÃ,-50.6643954524,-20.1408591576
PARAPUÃ,-50.9659353192,-21.968962929
PARDINHO,-48.4763429475,-23.2035818366
PARIQUERA-AÇU,-47.9643868316,-24.7993619483
PARISI,-50.081238407,-20.3362213233
PATROCÍNIO PAULISTA,-47.4526696215,-20.8645940004
PAULICÉIA,-51.8797204851,-21.3741359054
PAULÍNIA,-47.2177704254,-22.817016
PAULISTÂNIA,-49.4569782169,-22.6427600926
PAULO DE FARIA,-49.6237683459,-20.242300824
PEDERNEIRAS,-49.0551594016,-22.490415414
PEDRA BELA,-46.5355171066,-22.8285435406
PEDRANÓPOLIS,-50.2307908364,-20.3212733133
PEDREGULHO,-47.6192395266,-20.3204015835
PEDREIRA,-46.957425,-22.843212
PEDRINHAS PAULISTA,-50.9276919258,-22.8832842521
PEDRO DE TOLEDO,-47.3506290154,-24.3618790175
PENÁPOLIS,-50.2804777151,-21.5900544505
PEREIRA BARRETO,-51.3246131748,-20.909771386
PEREIRAS,-48.0629414038,-23.2325131345
PERUÍBE,-47.120798,-24.444781
PIACATU,-50.7822619898,-21.6618651179
PIEDADE,-47.6187456353,-23.9828722019
PILAR DO SUL,-47.8775500188,-24.0093796401
PINDAMONHANGABA,-45.6699600493,-23.0714563901
PINDORAMA,-49.0108610553,-21.2995922351
PINHALZINHO,-46.6609267951,-22.8508467501
PIQUEROBI,-51.9155719747,-22.0589248992
PIQUETE,-45.2691050893,-22.6595338601
PIRACAIA,-46.48349,-23.122695
PIRACICABA,-48.098664,-22.901498
PIRAJU,-49.5733528809,-23.3367898959
PIRAJUÍ,-49.6955179172,-22.1398481833
PIRANGI,-48.7778848956,-21.164984535
PIRAPORA DO BOM JESUS,-47.042914712,-23.435863
PIRAPOZINHO,-51.8901762443,-22.6703603927
PIRASSUNUNGA,-47.6264661843,-22.104187968
PIRATININGA,-49.3235309782,-22.5291671287
PITANGUEIRAS,-48.4330667566,-21.130396568
PLANALTO,-50.055037516,-21.1334555644
PLATINA,-50.3478512012,-22.7152785664
POÁ,-46.368692,-23.57355
POLONI,-49.905386789,-20.8176036383
POMPÉIA,-50.3458852348,-22.2506820024
PONGAÍ,-49.4345406359,-21.8306286042
PONTAL,-48.1790263912,-21.1049726187
PONTALINDA,-50.6251813035,-20.5290824023
PONTES GESTAL,-49.8253533213,-20.285529858
POPULINA,-50.6154350493,-20.0371434982
PORANGABA,-48.2248996825,-23.2711956363
PORTO FELIZ,-47.6319057828,-23.385197
PORTO FERREIRA,-47.5550201967,-21.9358967465
POTIM,-45.3642618834,-22.857721564
POTIRENDABA,-49.4956791858,-21.1925081549
PRACINHA,-51.140233226,-21.8892501882
PRADÓPOLIS,-48.1464806231,-21.4301779813
PRAIA GRANDE,-46.6127350797,-24.08962
PRATÂNIA,-48.8025679612,-22.8743710326
PRESIDENTE ALVES,-49.5621420737,-22.2452710389
PRESIDENTE BERNARDES,-51.8381289317,-22.3615861776
PRESIDENTE EPITÁCIO,-52.4561849678,-22.2730556867
PRESIDENTE PRUDENTE,-51.4839478515,-22.2063294612
PRESIDENTE VENCESLAU,-52.0298901235,-22.0059254458
PROMISSÃO,-50.109625315,-21.7076593648
QUADRA,-48.1393236099,-23.383344619
QUATÁ,-50.7872614785,-22.437522
QUEIROZ,-50.3380385618,-21.8913959654
QUELUZ,-44.8552099878,-22.6137758438
QUINTANA,-50.521261934,-22.1957718718
RAFARD,-47.6628680898,-23.10372545
RANCHARIA,-51.1117474878,-22.6750023647
REDENÇÃO DA SERRA,-45.6455545866,-23.3390430297
REGENTE FEIJÓ,-51.3995978975,-22.3550884687
REGINÓPOLIS,-49.2617853879,-22.0656075037
REGISTRO,-48.0850043511,-24.6384385111
RESTINGA,-47.6052124971,-20.7416830924
RIBEIRA,-49.1714495813,-24.6883523089
RIBEIRÃO BONITO,-48.3072960656,-22.1839061644
RIBEIRÃO BRANCO,-48.9872579361,-24.39235606
RIBEIRÃO CORRENTE,-47.6658906146,-20.530978771
RIBEIRÃO DO SUL,-50.0100547839,-22.833056081
RIBEIRÃO DOS ÍNDIOS,-51.6683252666,-21.9414492165
RIBEIRÃO GRANDE,-48.449556716,-24.3144851458
RIBEIRÃO PIRES,-46.475329,-23.770903
RIBEIRÃO PRETO,-47.989154,-21.369355
RIVERSUL,-49.6107365025,-23.9301061136
RIFAINA,-47.5492377386,-20.1708258366
RINCÃO,-48.1704419946,-21.6781506132
RINÓPOLIS,-50.8305935423,-21.7994702684
RIO CLARO,-47.7653623421,-22.5520658034
RIO DAS PEDRAS,-47.7122380408,-22.926464021
RIO GRANDE DA SERRA,-46.428875,-23.774064
RIOLÂNDIA,-49.9067502916,-20.182104426
ROSANA,-53.1101115316,-22.6584459906
ROSEIRA,-45.3544391725,-23.0270803528
RUBIÁCEA,-50.9241714324,-21.4910425321
RUBINÉIA,-51.1093895548,-20.4317230381
SABINO,-49.7010848474,-21.6170153323
SAGRES,-51.0831457413,-21.9263959099
SALES,-49.623925983,-21.4482095742
SALES OLIVEIRA,-47.9855848203,-20.9106975982
SALESÓPOLIS,-45.992664,-23.683156
SALMOURÃO,-50.9393094115,-21.6894171403
SALTINHO,-47.8069048535,-22.9332349452
SALTO,-47.3895154391,-23.2368172732
SALTO DE PIRAPORA,-47.7065661215,-23.7570267333
SALTO GRANDE,-50.0566492366,-22.9606741526
SANDOVALINA,-52.0329239625,-22.6131686008
SANTA ADÉLIA,-48.9238605815,-21.4276336119
SANTA ALBERTINA,-50.8442180138,-20.1484696535
SANTA BÁRBARA D'OESTE,-47.530548998,-22.908266
SANTA BRANCA,-45.9873849415,-23.5068414793
SANTA CLARA D'OESTE,-51.0011911358,-20.1419081549
SANTA CRUZ DA CONCEIÇÃO,-47.5783866666,-22.1875530861
SANTA CRUZ DA ESPERANÇA,-47.5171315997,-21.3692429211
SANTA CRUZ DAS PALMEIRAS,-47.3468980664,-21.9821154303
SANTA CRUZ DO RIO PARDO,-49.7804432514,-23.0087480318
SANTA ERNESTINA,-48.4639378552,-21.5054602739
SANTA FÉ DO SUL,-51.023981,-20.4032676753
SANTA GERTRUDES,-47.5793261234,-22.5355925525
SANTA ISABEL,-46.364157,-23.407777
SANTA LÚCIA,-48.1805286926,-21.716926764
SANTA MARIA DA SERRA,-48.2614798903,-22.6519407862
SANTA MERCEDES,-51.8080323789,-21.3951698305
SANTANA DA PONTE PENSA,-50.8600279128,-20.3394701057
SANTANA DE PARNAÍBA,-47.037523,-23.508167
SANTA RITA D'OESTE,-50.8859988224,-20.2170453808
SANTA RITA DO PASSA QUATRO,-47.7241393879,-21.8082049352
SANTA ROSA DE VITERBO,-47.4475163681,-21.6137409144
SANTA SALETE,-50.7850794405,-20.3372263483
SANTO ANASTÁCIO,-51.8839237266,-22.201866313
SANTO ANDRÉ,-46.567208,-23.81587
SANTO ANTÔNIO DA ALEGRIA,-47.3087523722,-21.2122635959
SANTO ANTÔNIO DE POSSE,-47.0482978084,-22.6828341031
SANTO ANTÔNIO DO ARACANGUÁ,-50.8729455288,-21.0653770653
SANTO ANTÔNIO DO JARDIM,-46.757800933,-22.1813219002
SANTO ANTÔNIO DO PINHAL,-45.7709451378,-22.8914689975
SANTO EXPEDITO,-51.424227166,-21.8881784595
SANTÓPOLIS DO AGUAPEÍ,-50.6099268838,-21.7159856425
SANTOS,-46.403067,-23.993249
SÃO BENTO DO SAPUCAÍ,-45.8199278186,-22.7876974138
SÃO BERNARDO DO CAMPO,-46.652046,-23.967918
SÃO CAETANO DO SUL,-46.584958,-23.65057
SÃO CARLOS,-48.0912610347,-22.161045
SÃO FRANCISCO,-50.7417135264,-20.4377196853
SÃO JOÃO DA BOA VISTA,-46.944067901,-22.0949929744
